target,source,p,Dingo_Ancient_Nullarbor,HighlandWildDog,Papua_Indonesia_518bp,se_Dingo_Ancient_Nullarbor,se_HighlandWildDog,se_Papua_Indonesia_518bp,z_Dingo_Ancient_Nullarbor,z_HighlandWildDog,z_Papua_Indonesia_518bp,num_sources,valid
Dingo_FraserIsland_E56,Dingo_Ancient_Nullarbor,4.33147588290135e-12,1,NA,NA,2.4169562905148e-13,NA,NA,4137435186248.26,NA,NA,1,FALSE
Dingo_FraserIsland_E56,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.0181186018887935,0.785769590180018,NA,0.214230409819982,0.028632150734067,NA,0.0286321507340669,27.4436104181688,NA,7.48216268521831,2,TRUE
Dingo_FraserIsland_Y07,Dingo_Ancient_Nullarbor,7.10582270639072e-07,1,NA,NA,2.8434803975872e-13,NA,NA,3516816929170.81,NA,NA,1,FALSE
Dingo_FraserIsland_Y07,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.0895742045585543,0.832644012176131,NA,0.167355987823869,0.0319182005750146,NA,0.0319182005750146,26.0868093180641,NA,5.24327765378085,2,TRUE
Dingo_FraserIsland_Y47,Dingo_Ancient_Nullarbor,2.99665697665328e-17,1,NA,NA,2.4169562905148e-13,NA,NA,4137435186248.26,NA,NA,1,FALSE
Dingo_FraserIsland_Y47,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.0126278677240402,0.763507050711881,NA,0.236492949288119,0.0269967577029789,NA,0.0269967577029788,28.2814350935051,NA,8.76005007305097,2,TRUE
Dingo_Gibson_Desert_D08,Dingo_Ancient_Nullarbor,0.169439878449452,1,NA,NA,3.98105045979374e-13,NA,NA,2511899836737.59,NA,NA,1,TRUE
Dingo_Gibson_Desert_D08,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.652139280328412,0.983375693096873,NA,0.0166243069031267,0.0260958496443863,NA,0.0260958496443863,37.6832219106695,NA,0.637047926381767,2,TRUE
Dingo_Kimberley_D09,Dingo_Ancient_Nullarbor,0.00752905010089901,1,NA,NA,4.54957250436477e-13,NA,NA,2198008711896.82,NA,NA,1,FALSE
Dingo_Northern_Queensland_D04,Dingo_Ancient_Nullarbor,1.38688293256761e-16,1,NA,NA,1.91935831905887e-13,NA,NA,5210074586231.17,NA,NA,1,FALSE
Dingo_Northern_Queensland_D04,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.0938383322631248,0.776426493500896,NA,0.223573506499104,0.0279310695709841,NA,0.0279310695709841,27.7979506487456,NA,8.0044735104366,2,TRUE
Dingo_Northern_Queensland_D10,Dingo_Ancient_Nullarbor,2.9361405369545e-10,1,NA,NA,1.91935831905887e-13,NA,NA,5210074586231.17,NA,NA,1,FALSE
Dingo_Northern_Queensland_D10,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.162744737286845,0.810128703214909,NA,0.189871296785091,0.0261262668332666,NA,0.0261262668332667,31.0082075018606,NA,7.26744842639851,2,TRUE
Dingo_Northern_Territory_D06,Dingo_Ancient_Nullarbor,0.283611495371644,1,NA,NA,3.19922809285856e-13,NA,NA,3125753997447.81,NA,NA,1,TRUE
Dingo_Northern_Territory_D06,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.972634051159642,0.939751239823779,NA,0.0602487601762211,0.0306980018963202,NA,0.0306980018963201,30.6127819979198,NA,1.96262806874878,2,TRUE
Dingo_Simpson_Desert_D03,Dingo_Ancient_Nullarbor,0.0139928117442927,1,NA,NA,1.38625232843198e-13,NA,NA,7213693924908.5,NA,NA,1,TRUE
Dingo_Simpson_Desert_D03,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.355734607589669,0.906445899563996,NA,0.0935541004360044,0.02784979883596,NA,0.0278497988359601,32.5476641645821,NA,3.35923792437617,2,TRUE
Elly01,Dingo_Ancient_Nullarbor,5.61322973918135e-06,1,NA,NA,1.45748666335734e-13,NA,NA,6861126246579.05,NA,NA,1,FALSE
Elly01,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.921213864872334,0.788797126071775,NA,0.211202873928225,0.036695843964705,NA,0.0366958439647051,21.495543932181,NA,5.7554984736518,2,TRUE
Gatton.838bp,Dingo_Ancient_Nullarbor,8.46163352662798e-09,1,NA,NA,2.4169562905148e-13,NA,NA,4137435186248.26,NA,NA,1,FALSE
Gatton.838bp,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.201612966473911,0.797634215190603,NA,0.202365784809398,0.040323081837933,NA,0.040323081837933,19.7810826661629,NA,5.01860908406626,2,TRUE
HF014,Dingo_Ancient_Nullarbor,8.12743146530362e-07,1,NA,NA,1.99069793660713e-13,NA,NA,5023363824369.88,NA,NA,1,FALSE
HF014,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.239837543954468,0.830079018359065,NA,0.169920981640935,0.0304437650559201,NA,0.0304437650559201,27.2659776750461,NA,5.58147066661494,2,TRUE
HF081,Dingo_Ancient_Nullarbor,3.17709118040851e-09,1,NA,NA,1.77747792303309e-14,NA,NA,56259489192057.1,NA,NA,1,FALSE
HF081,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.757917304988835,0.769255419217388,NA,0.230744580782612,0.0315469675189998,NA,0.0315469675189998,24.3844489570698,NA,7.31431890065634,2,TRUE
HF145,Dingo_Ancient_Nullarbor,4.79352957608817e-05,1,NA,NA,1.6352277638928e-13,NA,NA,6115356050581.08,NA,NA,1,FALSE
HF145,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.502192494967857,0.81268828576525,NA,0.18731171423475,0.037315746700808,NA,0.037315746700808,21.7786955271527,NA,5.01964266551026,2,TRUE
HF154,Dingo_Ancient_Nullarbor,6.0255078354286e-05,1,NA,NA,4.62153365830877e-14,NA,NA,21637838733515.7,NA,NA,1,FALSE
HF154,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.535902788445564,0.838449946294077,NA,0.161550053705923,0.0327705520960916,NA,0.0327705520960916,25.5854690465857,NA,4.92973243881327,2,TRUE
McEachernCave.1468bp,Dingo_Ancient_Nullarbor,7.22392285946268e-05,1,NA,NA,1.42174201369961e-13,NA,NA,7033624879649.11,NA,NA,1,FALSE
McEachernCave.1468bp,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.442579240828176,0.73570122522158,NA,0.26429877477842,0.0606330244232268,NA,0.0606330244232268,12.1336719093259,NA,4.35899045598614,2,TRUE
MtGambier.724bp,Dingo_Ancient_Nullarbor,1.80638292061515e-08,1,NA,NA,3.2700038460866e-13,NA,NA,3058100378679.24,NA,NA,1,FALSE
MtGambier.724bp,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.100938135376518,0.741554622474717,NA,0.258445377525283,0.0444980266880255,NA,0.0444980266880256,16.66488780893,NA,5.80801884400934,2,TRUE
ND0413,Dingo_Ancient_Nullarbor,0.000129615329671099,1,NA,NA,8.88713305879112e-14,NA,NA,11252222661511.8,NA,NA,1,FALSE
ND0413,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.119196863343779,0.845147605533828,NA,0.154852394466172,0.0355312501398028,NA,0.0355312501398028,23.7860362978638,NA,4.35820281743207,2,TRUE
ND0934,Dingo_Ancient_Nullarbor,1.49492013385188e-07,1,NA,NA,3.73222910554702e-13,NA,NA,2679363918237.9,NA,NA,1,FALSE
ND0934,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.0330372892723457,0.863552545539755,NA,0.136447454460245,0.0255848116185392,NA,0.0255848116185391,33.7525465661044,NA,5.33314282296193,2,TRUE
ND1006,Dingo_Ancient_Nullarbor,5.10390780590561e-05,1,NA,NA,0,NA,NA,Inf,NA,NA,1,FALSE
ND1006,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.0975459757129212,0.828399673768003,NA,0.171600326231997,0.0390652842191501,NA,0.0390652842191501,21.2055202035856,NA,4.39265526059777,2,TRUE
ND1009,Dingo_Ancient_Nullarbor,3.47866222679692e-06,1,NA,NA,2.27514507711578e-13,NA,NA,4395324105079.53,NA,NA,1,FALSE
ND1009,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.0834444007645044,0.822829479345064,NA,0.177170520654936,0.0344301584738253,NA,0.0344301584738254,23.8985097896253,NA,5.14579451586392,2,TRUE
ND1012,Dingo_Ancient_Nullarbor,1.24584766461204e-06,1,NA,NA,1.67081094878168e-13,NA,NA,5985117590527.99,NA,NA,1,FALSE
ND1012,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.0947129914929366,0.816188467573196,NA,0.183811532426804,0.0344281966817878,NA,0.0344281966817878,23.7069770199423,NA,5.33898229191999,2,TRUE
ND1034,Dingo_Ancient_Nullarbor,4.30748711880508e-05,1,NA,NA,1.59951555111445e-13,NA,NA,6251892951608.13,NA,NA,1,FALSE
ND1034,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.754612546102658,0.852361175547559,NA,0.147638824452441,0.0271664272546156,NA,0.0271664272546157,31.3755344992132,NA,5.4346058489291,2,TRUE
ND1099,Dingo_Ancient_Nullarbor,4.06195615468738e-06,1,NA,NA,2.0973649241317e-13,NA,NA,4767887497756.25,NA,NA,1,FALSE
ND1099,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.741072001306089,0.799170942210254,NA,0.200829057789746,0.035746870054308,NA,0.0357468700543079,22.3563892725747,NA,5.61808789090177,2,TRUE
ND1304,Dingo_Ancient_Nullarbor,5.02282228643554e-13,1,NA,NA,1.70628914534896e-13,NA,NA,5860671403354.01,NA,NA,1,FALSE
