"pat","wt","dof","chisq","p","f4rank","Dingo_Ancient_Nullarbor","HighlandWildDog","Papua_Indonesia_518bp","feasible","best","dofdiff","chisqdiff","p_nested","target","right","source"
"0",0,5,8.46316157189695,0.132489817918905,0,1,NA,NA,TRUE,NA,NA,NA,NA,"wdi0828","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor"
"00",0,3,0.575788162035176,0.901952051384411,1,1.12133217816701,-0.121332178167015,NA,FALSE,NA,NA,NA,NA,"wdi0828","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor|HighlandWildDog"
"01",1,4,5.63356876856293,0.228235771138868,0,1,NA,NA,TRUE,TRUE,0,-117.766122397973,1,"wdi0828","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor|HighlandWildDog"
"10",1,4,123.399691166536,1.00314566368086e-25,0,NA,1,NA,TRUE,TRUE,NA,NA,NA,"wdi0828","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor|HighlandWildDog"
"00",0,3,4.06064635269476,0.254989447270628,1,0.987481657329757,NA,0.0125183426702428,TRUE,NA,NA,NA,NA,"wdi0828","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog","Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp"
"01",1,4,4.98360679117101,0.288983680716856,0,1,NA,NA,TRUE,TRUE,0,-581.199659414227,1,"wdi0828","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog","Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp"
"10",1,4,586.183266205398,1.5149689103871e-125,0,NA,NA,1,TRUE,TRUE,NA,NA,NA,"wdi0828","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog","Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp"
"0",0,5,11.9577609265474,0.0353711596460845,0,1,NA,NA,TRUE,NA,NA,NA,NA,"wdi0964","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor"
"00",0,3,4.44132232063423,0.217584299896326,1,1.15253435556665,-0.152534355566655,NA,FALSE,NA,NA,NA,NA,"wdi0964","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor|HighlandWildDog"
"01",1,4,12.7931096294426,0.0123322131044684,0,1,NA,NA,TRUE,TRUE,0,-104.37653036013,1,"wdi0964","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor|HighlandWildDog"
"10",1,4,117.169639989573,2.14818452967511e-24,0,NA,1,NA,TRUE,TRUE,NA,NA,NA,"wdi0964","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor|HighlandWildDog"
"00",0,3,3.14348294833863,0.37002759496831,1,1.04282353466525,NA,-0.0428235346652494,FALSE,NA,NA,NA,NA,"wdi0964","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog","Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp"
"01",1,4,6.80962530216829,0.146297227259019,0,1,NA,NA,TRUE,TRUE,0,-529.160540142948,1,"wdi0964","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog","Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp"
"10",1,4,535.970165445116,1.10990430762849e-114,0,NA,NA,1,TRUE,TRUE,NA,NA,NA,"wdi0964","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog","Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp"
