pop1,pop2,pop3,est,se,z,p,n
CoyoteCalifornia,di0678,Dingo14,0.241693184588106,0.00232745317317532,103.844488634058,0,299483
CoyoteCalifornia,di0678,Dingo15,0.242680563997004,0.00233314187730188,104.014490656542,0,297803
CoyoteCalifornia,di0678,Dingo16,0.244944049133387,0.00233873446432405,104.733586847869,0,301872
CoyoteCalifornia,di0678,Dingo17,0.238462888073598,0.00239051367095925,99.7538273763182,0,287832
CoyoteCalifornia,di0678,Dingo18,0.230985760422783,0.00237877987230062,97.1026210169615,0,272480
CoyoteCalifornia,di0678,Dingo19,0.240777044338962,0.00229120407239698,105.0875595237,0,296624
CoyoteCalifornia,di0678,Dingo20,0.237071480164447,0.00269051192089532,88.1138932421295,0,215976
CoyoteCalifornia,di0678,Dingo21,0.233559066849882,0.00224867888602653,103.865015276853,0,319477
CoyoteCalifornia,di0678,Dingo22,0.236889423361631,0.0023573443935674,100.489951323211,0,303934
CoyoteCalifornia,di0678,Dingo23,0.2489395407066,0.00237019455170085,105.029159116057,0,285961
CoyoteCalifornia,di0678,Dingo24,0.254319584460973,0.00233318208258191,109.001173273001,0,270107
CoyoteCalifornia,di0678,Dingo25,0.245503416979344,0.002399823301532,102.300622226069,0,259586
CoyoteCalifornia,di0678,Dingo26,0.246803726555545,0.00249723659129403,98.8307345070799,0,260616
CoyoteCalifornia,di0678,Dingo27,0.237047573044627,0.00233719526633314,101.423948807039,0,271204
CoyoteCalifornia,di0678,Dingo28,0.241268509845263,0.00236610135267075,101.968797563524,0,306391
CoyoteCalifornia,di0678,Dingo29,0.241291174415053,0.00244826603745966,98.5559456052489,0,238953
CoyoteCalifornia,di0678,Dingo30,0.238666704109478,0.00255828757542718,93.2915855128701,0,231464
CoyoteCalifornia,di0678,Dingo31,0.236896939781542,0.00242542639685098,97.6722856191858,0,308344
CoyoteCalifornia,di0678,Dingo32,0.237234348827471,0.00239989733791453,98.8518738195789,0,305664
CoyoteCalifornia,di0678,Dingo_Alpine_Cooinda,0.237116682668528,0.00231761401644948,102.310687191901,0,274968
CoyoteCalifornia,di0678,Dingo_Alpine_D01,0.24410868496081,0.00237270912291002,102.881841943365,0,290767
CoyoteCalifornia,di0678,Dingo_Alpine_D05,0.225685552670345,0.00241438729943766,93.4752898687425,0,334657
CoyoteCalifornia,di0678,Dingo_Alpine_D07,0.240685628218749,0.00240309399340283,100.156560200932,0,234369
CoyoteCalifornia,di0678,Dingo_Ancient_Curracurrang_D10,0.246982664033357,0.0071381802686801,34.600227892399,2.50659204164665e-262,4557
CoyoteCalifornia,di0678,Dingo_Ancient_Curracurrang_D13,0.235875,0.00283716780904152,83.1374863511109,0,52000
CoyoteCalifornia,di0678,Dingo_Ancient_Curracurrang_D16,0.250893355762873,0.00228760845782097,109.674955478114,0,291877
CoyoteCalifornia,di0678,Dingo_Ancient_Nullarbor_A19053,0.246772983581871,0.00227744190141994,108.355336497503,0,361247
CoyoteCalifornia,di0678,Dingo_Ancient_Nullarbor_A19058,0.243274472768448,0.0022258083493182,109.297133710082,0,409782
CoyoteCalifornia,di0678,Dingo_Ancient_Nullarbor_276,0.245264411776165,0.00221381641376323,110.788053720879,0,282911
CoyoteCalifornia,di0678,Dingo_Ancient_Nullarbor_295,0.244572129360465,0.00226018663383175,108.208820324646,0,308224
CoyoteCalifornia,di0678,Dingo_Ancient_Nullarbor_372,0.245506864289618,0.00244781233330081,100.29644060113,0,155515
CoyoteCalifornia,di0678,Dingo_Ancient_Nullarbor_485,0.241859048989263,0.00222332469956697,108.782603385087,0,316947
CoyoteCalifornia,di0678,Dingo_Ancient_Nullarbor_615,0.245403529111878,0.00232352256227402,105.617020078214,0,286361
CoyoteCalifornia,di0678,Dingo_Ancient_Nullarbor_639,0.244107349197661,0.00229781036981184,106.234766978465,0,230202
CoyoteCalifornia,di0678,Dingo_Ancient_Nullarbor_762,0.241356826683482,0.00225668708024838,106.951836076855,0,326674
CoyoteCalifornia,di0678,Dingo_Ancient_Nullarbor_884,0.244994447161197,0.00230700561194244,106.195860943276,0,218807
CoyoteCalifornia,di0678,Dingo_Ancient_Nullarbor_1227,0.242172410935678,0.0022209027612702,109.042329614275,0,313762
CoyoteCalifornia,di0678,Dingo_Desert_Sandy,0.230126910169105,0.0021611367057463,106.484198596606,0,306910
CoyoteCalifornia,di0678,Dingo_FraserIsland_D02,0.241064739059812,0.00224622801633625,107.319798928073,0,333678
CoyoteCalifornia,di0678,Dingo_FraserIsland_E56,0.240170339026487,0.0021560925018427,111.39148196157,0,351182
CoyoteCalifornia,di0678,Dingo_FraserIsland_Y07,0.238156333655741,0.00220098583168233,108.204391971803,0,364963
CoyoteCalifornia,di0678,Dingo_FraserIsland_Y47,0.242121643877175,0.00211428693480484,114.516927618211,0,369176
CoyoteCalifornia,di0678,Dingo_Gibson_Desert_D08,0.231881360138993,0.00221684699509083,104.599623091936,0,322320
CoyoteCalifornia,di0678,Dingo_Kimberley_D09,0.230007873375209,0.00220953261267005,104.097976221886,0,344198
CoyoteCalifornia,di0678,Dingo_Northern_Queensland_D04,0.238587709798133,0.00218833450362522,109.027074884067,0,356414
CoyoteCalifornia,di0678,Dingo_Northern_Queensland_D10,0.234892004975687,0.00220590420433755,106.483320768785,0,353720
CoyoteCalifornia,di0678,Dingo_Northern_Territory_D06,0.234963411656565,0.0024157713349035,97.2622732382705,0,278504
CoyoteCalifornia,di0678,Dingo_Simpson_Desert_D03,0.231324070543523,0.00213727817726989,108.233019456087,0,322581
CoyoteCalifornia,di0678,DO-CO-159148,0.246667760019105,0.00242697185229256,101.636020123636,0,335360
CoyoteCalifornia,di0678,DO-CO-167564,0.240711428146336,0.00233738948701332,102.983019939014,0,241964
CoyoteCalifornia,di0678,DO-CO-167565,0.245024416266568,0.00238167249914779,102.879139073169,0,341166
CoyoteCalifornia,di0678,DO-CO-167767,0.246161134430408,0.002278094756047,108.055704784446,0,377846
CoyoteCalifornia,di0678,DO-CO-168535,0.243595944797352,0.00235876984655947,103.272451592793,0,357664
CoyoteCalifornia,di0678,DO-CO-169117,0.248190591073583,0.00243989905781864,101.721663557457,0,334916
CoyoteCalifornia,di0678,DO-CO-170078,0.245514753268275,0.00241558676817344,101.637728978753,0,347584
CoyoteCalifornia,di0678,DO-CO-170282,0.240745316907331,0.00252662821216563,95.283237853575,0,331832
CoyoteCalifornia,di0678,DO-CO-170647,0.24431916415973,0.0023139770623096,105.58409075839,0,375957
